"Name","Old School","New School"
"Garett Wallace","East Tennessee State",""
"Evan Chaffee","Alabama",""
"Tommy Tavarez-Jimenez","Pittsburgh",""
"Drew Wyers","Stetson","Manhattan"
"Noah Samol","Georgia Tech",""
"Michael Diduch","UT Arlington",""
"Kyle Mahady","Saint Peter's",""
"Tanner Rice","UT Arlington",""
"Jake Lazzaro","Liberty",""
"Thomas Szczepanski","Virginia Tech",""
"Cooper Robinson","UC Irvine",""
"Tyler Dean","Virginia Tech","South Carolina"
"Michael Handal*","Fairfield",""
"Jaden Agassi","Southern California",""
"Jack Sellinger","UNLV",""
"Kyler Carmack","Arkansas State","Ole Miss"
"Michael Marella","Fairfield",""
"Devan Barnett","Virginia Commonwealth",""
"Hunter Spiel","Kent State",""
"Colin Bergmann","Saint Louis",""
"Michael Polk","Georgia",""
"Jalen Grant","George Mason",""
"Jonathan Little","Georgia",""
"Adam Walker","Oklahoma",""
"Will Poindexter","Georgia",""
"Eric Van Valkenburg","Oklahoma",""
"Colton Sundloff","Oklahoma","San Diego"
"Charlie Goldstein","Georgia",""
"Gabe Murrell","Oklahoma",""
"Justin Johnson","Jackson State",""
"Erwins Branche","Jackson State",""
"Bret Bowers","Lindenwood",""
"Andrew Miller","Seattle",""
"Shea Hendrixson","Southern Indiana",""
"John Davis","UL Monroe",""
"Magnum Hofstetter","Hawaii",""
"Chase Nett","North Dakota State",""
"Richard Elmore","Grand Canyon",""
"Blake Reilly","Grand Canyon",""
"Andre Jackson","Prairie View A&M",""
"Maddox Thornton","Grand Canyon",""
"Julian Orozco","Long Beach State",""
"Patrick Dunn","Wichita State",""
"Nico Lopez","Southern California",""
"Quin Spalding","Gardner-Webb",""
"Cooper Erikson","Wofford",""
"Yan Ortiz","SE Missouri State",""
"Jurgen Zwitzer","Texas Southern",""
"Brody Wilson","Texas Southern",""
"Garrett Telaga","Jacksonville State",""
"Michael Conte","Central Michigan",""
"Logen Sutton","East Tennessee State",""
"Carter Sheppard","High Point",""
"Aaron Groller","Seton Hall",""
"John Vitucci","Seton Hall",""
"Blake Ciuffetelli","Southern Indiana",""
"Ethan Vecrumba","Indiana",""
"Sal Alvarez","Florida",""
"Jesse Specter","Seton Hall",""
"Will Tynes","Tulane",""
"Sam Gilliam","Sacramento State",""
"Chase Engelhard","Tulane",""
"Michael Rice","UC Santa Barbara",""
"Grant Comstock","Northwestern",""
"Jose Ruiz","UC Santa Barbara",""
"Ckyler Tengler","Little Rock",""
"Thomas Takayoshi","Fresno State",""
"Nathan Swarts","Washington State",""
"Joel Cervantes","UC Riverside",""
"Devin Marton","Nevada",""
"Xavier Martinez","Cal State Northridge",""
"Lucas Loos","Oakland",""
"Braden Frank","Sacramento State",""
"Ian Pennington","Akron",""
"Daniel Dewey","Middle Tennessee",""
"Leif Bigelow","East Tennessee State",""
"Caden Miller","San Diego State",""
"Dom Coombe","Florida Gulf Coast",""
"Keanu Maldonado","Prairie View A&M",""
"Jimmy Starling","The Citadel",""
"Hunter Thomas","Arkansas State",""
"James Urban","Hawaii",""
"Reese Dutton","USC Upstate","Kansas"
"Elliot Gallegos","UC Santa Barbara",""
"Blake Hofhens","Utah Tech",""
"Roderick Coffee","Texas Southern",""
"Michael Elko","Northwestern",""
"Jared Snyder","Long Beach State","Cal State Fullerton"
"James Dill","Clemson",""
"Joshua Fluet","Texas Southern",""
"Hunter Omlid","Grand Canyon",""
"Cole Dale","UC San Diego",""
"Tafton Hensley","Oregon",""
"Dolan Ramsey","Jacksonville",""
"Travis Phelps","Houston",""
"Matthew Moore","Southern Indiana",""
"Max Martin","Stonehill",""
"Luke Jessen","Nebraska",""
"Adian Martinez","Arkansas-Pine Bluff",""
"Cam Frederick","Omaha",""
"Jared Adams","Mississippi Valley State",""
"Noah Karliner","New Mexico State",""
"Tyler White","Long Beach State","Sacramento State"
"Joseph Gann","Texas State",""
"Chase Hudson","Coastal Carolina",""
"Zach Johnson","Portland",""
"Dalton Bargo","Missouri",""
"Rodrigo Barajas","Cal State Northridge",""
"Stanton Luethner","South Florida",""
"Adam Murhead","Baylor",""
"Hambleton Oliver","Baylor",""
"Peter Fusek","Western Illinois",""
"Aaron Dolney","Eastern Michigan",""
"Garrett Gearner","Stephen F. Austin",""
"Will Spears","Memphis",""
"Mark McNelly","Seton Hall",""
"Drew Buhr","Bellarmine","Indiana"
"Ryan Dyal","Auburn",""
"Dexter Swims","Memphis",""
"Max Puckett","Mercer",""
"Cam Czerwinski","James Madison",""
"Jaden Sheppard","Fresno State",""
"Charles Dean","Cincinnati",""
"Joshua Kross","Eastern Michigan",""
"Nick Moore","Texas State",""
"Nasir Frederick","Grambling State",""
"Nathan Rusher","Fordham",""
"Gage Singer","UT Arlington",""
"Bruce Hilton","Coppin State",""
"Mario Cuevas","Coppin State",""
"Dillon Lifrieri","UNC Wilmington",""
"Cole Roberts","Loyola Marymount",""
"Camden Hill","Auburn",""
"Justin Acal","Pittsburgh",""
"Jordan Vera","Ole Miss","Virginia Tech"
"Max Debiec","Texas A&M",""
"Enzo Apodaca","Gonzaga",""
"Andrew McKenna","Washington State",""
"Juan De La Cruz","Virginia",""
"Treyton Rank","Florida State",""
"Reed Interdonato","Monmouth",""
"Sean McGee","Northeastern",""
"Daniel Brown","Campbell",""
"Luke Wagner","Georgia",""
"Travis Garnett","Maryland",""
"Sena Perkins","Akron",""
"Cole Pauley","Ohio State",""
"Nick Mazzotta","Fairleigh Dickinson",""
"Matthew Stam","Mount St. Mary's",""
"Dylan Rogers","Appalachian State",""
"Anthony Martin","Jacksonville State",""
"Jalen Freeman","Texas Southern",""
"Brayden Moore","Troy",""
"Kyle Froehlich","Northwestern State",""
"Alejandro Holgun","USC Upstate",""
"John Thorbahn","Northeastern",""
"Ben Lumsden","UT Arlington",""
"SAm Beck","BYU",""
"Alex Stanwich","Tennessee",""
"Christian Cienfiuegos","Rice",""
"Aaron Smigelski","Rice",""
"Gray Bailey","UT Arlington",""
"Ben Hampton*","West Virginia","TCU"
"Ryan Brome","Texas Tech",""
"Cruz Barrios","UC Riverside",""
"Josh Sauser","Northwestern",""
"Zach Trevino","Prairie View A&M",""
"Michael Dattalo","Northwestern State",""
"Grady Rowlett","Northwestern State",""
"Drayton Brown","Northwestern State",""
"Justin Loer*","Xavier","LSU"
"Xavier Lovett","Memphis",""
"Austin Baskin","Memphis",""
"Andrew Devine","Texas Tech",""
"Collin Horton","New Orleans",""
"Quintt Landis","Pepperdine",""
"Luke Masuiuk","Northeastern",""
"Connor Rasmussen","East Carolina","Tulane"
"Jaylen Guy","Liberty",""
"Jacob Hasty","Missouri",""
"Slate Alford","Mississippi State","Georgia"
"Kevin Mannell","Kansas State","Cloud County (KS)"
"Mitchell Sampson","Western Illinois",""
"Carson Stevens","Cal Poly",""
"Justin Banks","UNC Wilmington",""
"Joe Acosta","East Tennessee State",""
"Manny Johnson","Liberty",""
"Creighton Hansen","Liberty",""
"Corey Savedoff","Rhode Island",""
"Will Butler","Rhode Island",""
"Ed Jarvis","Northeastern",""
"Wyatt Jensen","St. Thomas",""
"Zach Hopman","Michigan State",""
"Ryan Lobus","Mercer","Charlotte"
"Lawson Knight","Kansas State",""
"Ramses Cordova","Winthrop",""
"Dominic Hughes","Kansas State",""
"Payton Green","NC State",""
"Dylan Dieguez","Bethune-Cookman",""
"Aidan Garrett","Little Rock",""
"Matt Riley","Queens (NC)",""
"Brayden Brooks","UT Arlington",""
"Brett Garcia","Baylor",""
"Ethan Mishra","Tulane",""
"Charlie Pagliarini","Fairfield",""
"William Marcy","NC State",""
"Jake McGillvray","Stetson",""
"Ethan Rossi","Illinois-Chicago",""
"Blake Brogdon","Rice",""
"Truitt Luth","Omaha",""
"Bailyn Sorensen","Northwestern State",""
"Cole Reynolds","Elon",""
"Ryan Andrade","Rhode Island",""
"Andrew Ruggiero","Maine",""
"Dylan Kurahashi-Choy Foo","Tarleton State",""
"Matthew Dubois","Saint Peter's",""
"Ben Karpowicz","Illinois State",""
"Corbin Bassham","Missouri State",""
"Logan Hurd","Loyola Marymount",""
"Tyson Heaton","Grand Canyon",""
"Noah Grayson","Texas Southern",""
"Evan Smith","West Virginia",""
"Chris Sleeper","West Virginia",""
"Alvin Keels","West Virginia",""
"Will Fitzgerald","Fairfield",""
"Sam Alswang","Central Connecticut State",""
"Ethan Toone","SIU-Edwardsville",""
"Cole Caruso","USC Upstate",""
"Kade Shatwell","Oklahoma State",""
"Shotaro Hamada","UC Davis",""
"Emilio Morales","Santa Clara",""
"Troy McCain","Cal Poly",""
"Charles Welch","Cal Poly",""
"Josh Randall","Arizona","San Diego"
"Chris Stamos","California",""
"Mason Greer","Missouri State",""
"Dylan Heine","Rider",""
"Max Mrakovcic","UL Monroe",""
"Chris Dicochea","Washington",""
"Ryan Lee","Little Rock",""
"Matt Jonas","UNC Greensboro",""
"Jack Grant","Arizona",""
"Ashton Riley","Southern",""
"Ethan Chenault","UNC Wilmington","Florida State"
"Nick Cosentino","Charlotte",""
"Everette Harris","NC State","Appalachian State"
"Nick Willard","Liberty",""
"Matt Rivera","Ball State",""
"Zach Lane","Ball State",""
"Boris Pena","Bethune-Cookman",""
"Miller Ladusau","Abilene Christian",""
"Eric Grintz","North Carolina",""
"Chris Zielinski","Jacksonville State","South Alabama"
"Dillon Carter","Texas Tech",""
"Matt Bohnert","Lipscomb",""
"Derrick Jackson","Jacksonville State",""
"Bobby Zmarzlak","Maryland",""
"Armando Albert","Florida Atlantic",""
"Jackson Avila","Florida State",""
"Taiga Yamane","Troy",""
"Scott Shaw","Rider",""
"Tanner Garrison","Coastal Carolina",""
"Joshua Williams","UC Santa Barbara",""
"Brandon Siegenthaler","Villanova",""
"Frank Degaetano","Villanova",""
"Brady Plunkett","Rider",""
"Cam Leiter","UCF","Florida State"
"Eddie Saldivar","Long Beach State","Fresno State"
"Casey Cummings","Chabot College","Texas"
"Cameron Calvillo","Ohlone College (CA)","Gonzaga"
"Brendan O'Sullivan","San Joaquin Delta","UNLV"
"Kyle Carr","Palomar (CA)","TCU"
"Tyler Pugliese","Albany",""
"Brendan Girton","Texas Tech","Oklahoma"
"Jacob Saurez","Charlotte",""
"Josh Stevenson","LSU",""
"Matt Ellis","Indiana",""
"Luke Lesch","Rider",""
"Luke Vongoedert","Radford",""
"Brock Donnelly","Queens (NC)",""
"Colin Yablonski","Coastal Carolina",""
"Caleb Estes","Maryland",""
"Austin Bell","Prairie View A&M",""
"William Murphy","East Carolina",""
"Yoel Tejeda","Florida","Florida State"
"Teddy Deters","Xavier",""
"Collin Brougham","South Alabama",""
"Austin Hawke","North Carolina",""
"Evan Wallace","UC Irvine",""
"Isaiah Burke","Oregon State",""
"Jacob-Thomas Navyac","Cal State Fullerton",""
"Brendan Bobo","Cal State Fullerton",""
"Jalen Martinez","Ball State",""
"Carter Herrera","Cal State Fullerton",""
"Treston Wheeler","Oregon State",""
"William Florio","Stonehill",""
"Nolan Holmgren","Marshall",""
"Orlando Pena","Coastal Carolina",""
"Merek Sears","Houston",""
"Dawson Hall","Minnesota",""
"Braden Boisvert","Oregon State",""
"Christian Mracna","George Mason",""
"Calvert Clark","Charlotte",""
"Luke Hayden","Indiana","Indiana State"
"Justin Cassella","Elon",""
"Nick Finarelli","Virginia Tech",""
"Evan Dieter","St. Bonaventure",""
"Ryland Zaborowski","Miami (OH)",""
"Logan Rushing","Memphis",""
"Jorge De Goti","Indiana",""
"Cade Hermann","Western Illinois",""
"Nick Frazier","Virginia Commonwealth",""
"Vladimir Ceverino","Eastern Kentucky",""
"Sebastian Orduno","Oklahoma",""
"Wallace Clark","Oklahoma",""
"Kade Fletcher","Oklahoma",""
"Dante Girardi","FIU",""
"Jonathan Driskell","Sam Houston",""
"Andrew Whiteherse","Gardner-Webb",""
"Connor Wilford","Washington State",""
"Matthew Venuto*","Fairfield",""
"Ivan Arias","Vanderbilt",""
"Dax Dathe","Texas Tech",""
"Wiley Hartley","Campbell","UCF"
"Noah Rinehart","Sacramento State",""
"Cade Anderson","Campbell",""
"Steven Casas","San Jose State",""
"Grant Cleavinger","Tulane",""
"Chandler Williford","Campbell",""
"George Ferguson","Campbell",""
"Will Norris","North Alabama",""
"Izeah Muniz","Cal State Fullerton",""
"Drew Winters","Campbell",""
"Mark Henderson","Abilene Christian",""
"Ryan Lambert","Missouri State",""
"Craig Yoho","Indiana",""
"Cole Vanderslice","Villanova",""
"Jacob Putnam","Santa Clara",""
"Brad Hallock","Northern Colorado",""
"Justin Thorsteinson","Oregon State",""
"Ely Kennel","Oregon State",""
"Victor Quinn","Oregon State",""
"Renzo Gonzalez","Miami",""
"Gabe Gutierrez","Miami",""
"JD Jones","Miami","Rutgers"
"Sebastian Perez","Miami",""
"Zaylen Perry","UAB",""
"Alex Walsh","Miami",""
"Mike Torniero","Central Connecticut State",""
"Michael Salina","George Mason",""
"Max Chapman","Michigan State",""
"Landon Price","Ohio State",""
"Luke Piazza","UC Davis",""
"Ben Stoner","Wright State",""
"John O'Donnell","Rider",""
"Zack Zavala","Houston",""
"Blake Jackson","Charlotte","South Carolina"
"Sebastian Granados","Cal State Northridge",""
"Derek Blackmore","Arkansas-Pine Bluff",""
"Tyler Fote","Central Connecticut State",""
"TJ Nichols*","Arizona",""
"Blake Wink","Fresno State",""
"David Grewe","Oregon State",""
"Peyton Chatagnier","Ole Miss",""
"Alec Gonzalez","Lipscomb",""
"Cole Syversen","Valparaiso",""
"Darrien Chapman","Mississippi Valley State",""
"Sam Hojnar*","Iowa",""
"Blake Rogers","Baylor",""
"Harold Coll","Arkansas",""
"Luke Boone","Georgia State",""
"Adrian Vega","Indiana",""
"Hudson White","Texas Tech","Arkansas"
"Jordan Trapani","Nicholls State",""
"Colby Guy","Jackson State",""
"Peyton Brown","Campbell",""
"Carsten Finnvold","Florida",""
"Kyle Lessler","Manhattan",""
"Mack Timbrock","Kent State",""
"Reese Lipoma","Northwestern State",""
"Bryson Huwar","St. Bonaventure",""
"Connor Larson","Wofford",""
"Zack Ramppen","West Virginia",""
"Simon Baumgardt","Tulane",""
"Nick Sando","Santa Clara",""
"Marko Gibbons","Marist",""
"Chris Fidanza","George Mason",""
"Trey Brown","UMass-Lowell",""
"Jarred Mazzaferro","Washington",""
"Michael Snyder","Washington",""
"Piercen McElyea","Tarleton State",""
"Brayden Davidson","College of Charleston",""
"Logan Danzeisen","Purdue",""
"Dylan O'Connell","St. Thomas",""
"Gabe Perez","Bethune-Cookman",""
"Bryan Pina","Bethune-Cookman",""
"Payton Tolle","Wichita State",""
"Thomas Golbranson","St. Thomas",""
"Max D'Alessandro","Fairleigh Dickinson",""
"Eli Weisner","Charlotte",""
"Sam Mongelli","Sacred Heart",""
"Daniel Baruch","Boston College",""
"Caleb Menina","New Orleans",""
"Cooper Hellman","Indiana",""
"Jake Fitzgibbons","Tennessee",""
"Ryan Borberg","Illinois State",""
"Michael Braswell","South Carolina","LSU"
"John Marr","College of Charleston",""
"Augie Collins","Northwestern",""
"Jack Gurerrero","UNC Wilmington",""
"Alex Forry","Eastern Michigan",""
"Andrew Fischer*","Duke","Ole Miss"
"Tim Simay","Ole Miss",""
"Colin Dailey","St. Thomas",""
"Ryan Peters","SE Louisiana",""
"Vinny Bianchina","Northwestern",""
"Nate Hardman","Evansville","Notre Dame"
"Julian Hachem","Oklahoma","North Dakota State"
"Rans Sanders","Omaha","Nebraska"
"Logan Kohler*","Memphis",""
"Ben Brokemond","Miami (OH)",""
"Chris Kahler","George Washington",""
"Grant Miller","Ball State",""
"Brett Thomas","South Carolina",""
"Will Rigney","Baylor","Texas"
"Ryan Orr","Washington State",""
"Gabe Ulloa","Cal State Bakersfield",""
"Ian Petrutz*","Maryland",""
"Josh Rolling","Sacramento State",""
"Jackson Sleeper","Christian Brothers","Jacksonville State"
"Hudson Shupe","Seattle","Gonzaga"
"Jacob Morin","Tennessee Tech","Ohio State"
"Reece Beuter","Dallas Baptist","Iowa"
"Matthew Marchal*","Wofford","Clemson"
"Trevor Tishenkel","Cal Poly",""
"Jacob Sullens","Texas A&M-Corpus Christi",""
"Joe Cardinale","Utah",""
"Jaxson West","Alabama",""
"Noah Short","West Virginia","Florida State"
"Juan Rivera","UT Rio Grande Valley",""
"Owen Marsh","St. Thomas",""
"Rowen Watt","UNC Greensboro",""
"Corbin Ybarra","Tulane",""
"Dylan King","North Carolina",""
"Alex Knapp","George Mason",""
"Angel Lara-Acevedo","Northern Kentucky",""
"Anthony Ursitti","Florida",""
"Eldridge Armstrong","San Diego State",""
"Luke Byler","Northern Colorado",""
"Alex Olivo","Texas Southern",""
"Nick Matson","West Virginia",""
"Ben Lake","California",""
"Daniel Doligale","Illinois",""
"Izaak Siefken","Illinois",""
"Nick Bacura","Santa Clara",""
"Whitney Lance","Santa Clara",""
"Ben Cagginelli","Cal State Bakersfield",""
"Matthew Flores","Hawaii",""
"Alex Henderson","Binghamton",""
"Devin Smith","Utah Valley",""
"Xander Sielken","Hawaii",""
"Jake Tsukada","Portland",""
"Tyler McKenzie","Vanderbilt",""
"Ty Good","College of Charleston",""
"Ryan Belluomini","San Jose State",""
"Isaac Ontiveros","Cal State Northridge",""
"Justin Banks","UNC Wilmington",""
"Tyler Campbell","Alabama A&M",""
"Vinny Fattore","Duke",""
"Luke Delongchamp","Boston College",""
"Preyvon Blaylock","Georgia Tech","State College of Manatee"
"Brandon Beaver","Ashland","Missouri State"
"Luke Napleton","Quincy University","Louisville"
"Matt Scannell","Princeton",""
"Clay Cook","Southeastern Louisiana",""
"Josh Harlow","Mercer",""
"Seth Lucero","Youngstown State",""
"Bryce Fowler","Southern Miss",""
"Brandon McPherson","Northern Illinois",""
"Grant Kerry","Tarleton State",""
"Dominic Niman","Central Connecticut State",""
"Jared Feikes","Santa Clara",""
"Kendall Ewell","Kentucky",""
"Casey Artigues","Southern Miss",""
"Santiago Gomez","Bethune-Cookman",""
"Colton Olasin","Bethune-Cookman",""
"Brett Wichrowski","Bryant",""
"Evan Clark","Southern California",""
"Colby Shelton*","Alabama","Florida"
"Bryce Eblin","Alabama",""
"Rawley Hector","Louisiana Tech",""
"Carlo Lopiccolo","Cal Poly",""
"Andrew Mosiello","Oregon",""
"Tyler Ganus","Oregon","Northwestern"
"Jacob Hughes","Oregon",""
"Jakob Paturnak","Xavier",""
"Javon Hernandez","Jacksonville State",""
"Evan Sleight*","Rutgers",""
"Kevin Dowdell","West Virginia",""
"Tyler Cox","West Virginia",""
"Brock Blatter","Alabama",""
"Ernesto Polanco","Charleston Southern",""
"Quinn Rooks","Brown",""
"Reed Gannon","Kentucky",""
"Lucas Johnson","Wright State",""
"Jack Zyska","Notre Dame",""
"Kevin Millar","St. Thomas",""
"Seaver King*","Wingate","Wake Forest"
"Kyle West","Charleston (WVa.)","West Virginia"
"Tommy Henniger","Ole Miss","USC Upstate"
"Miller Riggins","Kennesaw State","Samford"
"Lucas Donlon","Virginia Tech",""
"Collin Jensen","St. Peter's",""
"Jared Keefe","Gardner-Webb",""
"Trevor Hinkel","Cal State Fullerton",""
"Ty Rybarczyk","Illinois","Indiana"
"Kobe Minchey","Texas",""
"Chris Stuart","Texas",""
"Andrew Crumbley","Morehead State","Butler"
"Dominic Palma","Northern Colorado",""
"Seth Logue","Kentucky",""
"Phillip Fox","Gardner-Webb",""
"Vinny Cicollelo","UC Riverside",""
"Zach Leach","Missouri",""
"Hayden Cooper","SIU-Edwardsville",""
"Ryan Hanks","Arizona State",""
"Christian Almanza","Saint Mary's",""
"Collin Ruddy","George Washington",""
"Sam Hill","Louisiana",""
"Cade McGarrh","Texas Tech",""
"Andrew Woods","Alabama",""
"Aidan Sweatt","North Florida",""
"Kyle Ayers","Houston",""
"Billy Amick*","Clemson",""
"Mitchell Daly","Texas","Kentucky"
"Julian Tonghini","Boston College",""
"Cole Miller","Washington",""
"Jordan Thompson","Nicholls",""
"Nolan Hughes","Fordham",""
"Javier Felix","Cal State Northridge",""
"Nick Angelakos","Samford",""
"Ethan Bosacker*","Xavier",""
"Kyle Kuramoto","Alabama State",""
"Adiel Melendez","Alabama State",""
"Juan Azar","Alabama State",""
"John Saffold","Alabama State",""
"JD Urso","Tampa (DII)","Ole Miss"
"Wyatt Parliament","Rutgers","Virginia Tech"
"Jack Eshleman","Hamilton (DIII)","Rutgers"
"Carson Myers","UAB","Auburn"
"Christian Hall","UAB","Auburn"
"Eric Fettinger","Western Illinois","Wichita State"
"Jordan Parsons","Central Oklahoma","Kansas State"
"Jake Karaba","Lewis","Louisville"
"Edward Micheletti","George Washington",""
"Austin O'Malley","Marshall",""
"Easton Rulli","Utah",""
"Adam Vaughn","Texas A&M-Corpus Christi",""
"Thomas Molsky","Penn State",""
"Michael Dolberry","Longwood",""
"Ely Ruiz","Northern Colorado",""
"Kyle Dernedde","Oregon State",""
"Alex Calarco","Northwestern",""
"Jacob Strmiska","New Mexico",""
"Anthony Mitta","Campbell",""
"Trey Pooser","College of Charleston","Kentucky"
"Jake Riordan","Arkansas-Pine Bluff",""
"Bobby Christy","Pepperdine",""
"Brennan Chisholm","Canisius",""
"Alan Aguero","New Mexico State",""
"Cannon Peebles*","NC State",""
"Maurice Hampton","Samford","Memphis"
"JD Suarez","Charlotte",""
"Daniel Rivera","Southern New Hampshire","Kansas State"
"Michael La Rocca","Southern New Hampshire","Florida Atlantic"
"Carter Benbrook","UC Santa Barbara","Tulane"
"Riley Gowens","Illinois",""
"Nate Williams","Mississippi State",""
"Chris Ewing","Winthrop",""
"Kolby Branch*","Baylor",""
"Ruben Del Castillo","Wagner",""
"Jake Martinez","Grand Canyon",""
"Elijah Hainline","Washington State",""
"Levi Huesman","Coastal Carolina",""
"Ben Roberts","USC Upstate",""
"Jackson Reynolds","Clemson",""
"Winston Wheeler","South Carolina",""
"Oscar Murray","Seton Hall",""
"Ryan Fischer","New Jersey Tech",""
"Jack Rich","George Washington",""
"Tyler Preece","Incarnate Word",""
"Jack Dedonato","New Mexico",""
"Nathen Morris","Long Beach State",""
"James Starnes","Richmond",""
"John Volpe","Richmond",""
"Joe Cromwick","Oregon",""
"Aidan Gilroy","Western Kentucky",""
"Ethan Moore","SE Louisiana",""
"Pete Durocher","Manhattan","Rutgers"
"Mac Bingham*","Arizona",""
"Cade Boxrucker","Campbell",""
"Peyton Olejnik","Oklahoma",""
"Cameron Laliberte","Arizona",""
"Bryce Grizzaffi","SE Louisiana",""
"Pat Sanchez","College of Charleston",""
"Kyle Speas","Maryland Eastern Shore",""
"Alex Vera","Illinois",""
"Jonah Sarabia","SE Missouri State",""
"Jeremy Garcia","Bethune-Cookman",""
"James Gladden","Virginia Commonwealth",""
"Joe Vitello","Saint Peter's",""
"Christian Mitchelle","Central Michigan",""
"Jeff Massicotte","Saint Peter's",""
"Omar Lopez","Bethune-Cookman",""
"Kyle Lesler","Manhattan",""
"Jared Evans","Eastern Illinois",""
"Luke  Lyman","Morehead State","West Virginia"
"Cam Landry","Georgia State",""
"Daniel Merkel","Wagner",""
"Clayton Chadwick","Sam Houston",""
"Luke Johnson","Middle Tennessee",""
"Jeff Heinrich","Santa Clara",""
"Dakota Jordan*","Mississippi State",""
"Kannon Stull","Evansville",""
"Connor Spencer","SE Louisiana",""
"Parker Noland*","Vanderbilt",""
"Garrett Pennington*","Wichita State","NC State"
"Luke Calveric","Radford","William & Mary"
"Jimmy Obertop","Michigan",""
"Luke Holman","Alabama",""
"Lenny Ashby","New Mexico","Kansas"
"Gary Grosjean","San Francisco State","CSU Bakersfield"
"Aron Harrington","Western Illinois","Missouri Southern"
"Jake Stadler","Purdue","Indiana"
"Shea Sprague*","Elon","North Carolina"
"AJ Fiechter","Western Kentucky",""
"Jason Bollman","LSU","Oklahoma"
"David Bishop","TCU",""
"Dillon Lewis","Queens",""
"Evan Minarovic","Northeastern",""
"Ethan Alexander","Western Illinois",""
"Thomas White","Illinois",""
"Nick Lundquist","North Carolina A&T",""
"Cade Nelis","Purdue Fort Wayne",""
"Ryan Rissas","UC San Diego",""
"Alejandro Flores","Tarleton State",""
"Ryan Ulisse","Rider",""
"Will Cook","Louisville",""
"Tyler Cox","Dartmouth",""
"Patrick Perry","Southern Illinois",""
"James McCormick","Arkansas State",""
"Adam Berghorst","Michigan State",""
"Caleb Stewart","Georgia State",""
"Matt Davis","Little Rock",""
"David Utagawa","Northwestern",""
"Tyler Mudd","Holy Cross",""
"Jordan Little","East Carolina",""
