"Name","Old School","New School"
"Foster Seitz","Radford",""
"Andrew Dongelewic","Stony Brook",""
"Ryan Partridge","Penn State",""
"Marcus Cline","Milwaukee","Tulane"
"Zane Badmaev*","Tarleton State","Texas A&M"
"Colby Feris","Tarleton State",""
"Luke McCollough","Utah Valley",""
"Noah Mattera","UNLV",""
"Braden Murphy","UNLV",""
"Cole Singsank","High Point",""
"Fermin Osio-Gonzalez","UNC Asheville",""
"Derek Huff","Mount St. Mary's",""
"Ryan Flaherty","Stonehill",""
"Tyrell Brewer","Charleston Southern",""
"Peyton Back","Bellarmine",""
"Hunter Antillon","New Mexico State",""
"Chris Masciel","California Baptist",""
"Brandon Lundquist","Nebraska",""
"Michael Dorcean","Coppin State",""
"Drake Flowers","Florida State",""
"Michael Buckely","Mississippi Valley State",""
"Kyle Van Liere","Butler",""
"Ryan Brown","Mississippi Valley State",""
"Andrew Duran","New Orleans",""
"Bailey Seeger","New Mexico",""
"Blake Sutton","High Point",""
"Dreylin Holmes","Mississippi Valley State",""
"Logan Rooney","UMass",""
"John Piacentino","Penn State",""
"Collin Nolden","Mississippi Valley State",""
"Josh Spiegel","Penn State",""
"Parker Lester","Miami (OH)",""
"Davione Hull","Mississippi Valley State",""
"Davon Mims","Mississippi Valley State",""
"Jonathan Henry","North Carolina A&T",""
"Michael Doerr","Lindenwood",""
"Griffin King","SIU-Edwardsville",""
"Ethan Papacek","Sacred Heart",""
"Will Ripoll","Houston Christian",""
"Eric Lindley","Stonehill",""
"Matt Haley","Lindenwood",""
"Nick Gales","Nicholls State",""
"Josh Cowden","BYU",""
"Joey White","Birmingham Southern","Georgia Southern"
"Robert Dudzinski","George Mason",""
"George Gray","Butler",""
"Logan Harris","Maryland Eastern Shore",""
"Blake Hale","Murray State",""
"Josh O'Neill","Stony Brook",""
"Kam Byrd","Mississippi Valley State",""
"Juan Rosa-Gonzalez","Mississippi Valley State",""
"Ty Washington","Mississippi Valley State",""
"Brady Drawbaugh","Mount St. Mary's",""
"Tyler Martinez","San Francisco",""
"Nate Rhylick","Mississippi Valley State",""
"Carter Dobrinski","Tarleton State",""
"Chris King","Mississippi Valley State",""
"Shane Paradine","Stony Brook",""
"Tommy Chmielewski","Princeton",""
"Colin Davis","Butler",""
"Cal McClendon","Mississippi Valley State",""
"Nelson Yeatts","UNC Asheville",""
